season,team_id,team_name,off_rtg,def_rtg,net_rtg,pace,rest_days,ts_pct,tov_pct,oreb_pct,home,win_streak,srs,point_diff,fg3_rate,ftr,back_to_back,travel_km,prev_margin,label
2015-16,1610612742,Dallas Mavericks,105.5,105.9,-0.4,95.34,2,0.5446588295425505,0.132,0.241,0,-1,0.018,-0.3,0.3400713436385256,0.2651605231866825,0,304.2,-11.0,0
2015-16,1610612746,LA Clippers,107.2,102.7,4.5,96.81,5,0.556277148454135,0.133,0.234,1,-1,4.164,4.3,0.3240291262135922,0.3179611650485436,0,0.0,0.0,1
2015-16,1610612757,Portland Trail Blazers,107.6,106.8,0.8,97.06,5,0.5472818162882732,0.15,0.294,0,1,1.015,0.8,0.3317811408614668,0.2677532013969732,0,0.0,0.0,0
2015-16,1610612746,LA Clippers,107.2,102.7,4.5,96.81,3,0.556277148454135,0.133,0.234,1,-1,4.164,4.3,0.3240291262135922,0.3179611650485436,0,0.0,20.0,1
2015-16,1610612757,Portland Trail Blazers,107.6,106.8,0.8,97.06,3,0.5472818162882732,0.15,0.294,0,1,1.015,0.8,0.3317811408614668,0.2677532013969732,0,0.0,-20.0,0
2015-16,1610612757,Portland Trail Blazers,107.6,106.8,0.8,97.06,3,0.5472818162882732,0.15,0.294,1,1,1.015,0.8,0.3317811408614668,0.2677532013969732,0,1340.3,-21.0,1
2015-16,1610612746,LA Clippers,107.2,102.7,4.5,96.81,3,0.556277148454135,0.133,0.234,0,-1,4.164,4.3,0.3240291262135922,0.3179611650485436,0,1340.3,21.0,0
2015-16,1610612757,Portland Trail Blazers,107.6,106.8,0.8,97.06,2,0.5472818162882732,0.15,0.294,1,1,1.015,0.8,0.3317811408614668,0.2677532013969732,0,0.0,8.0,1
2015-16,1610612746,LA Clippers,107.2,102.7,4.5,96.81,2,0.556277148454135,0.133,0.234,0,-1,4.164,4.3,0.3240291262135922,0.3179611650485436,0,0.0,-8.0,0
2015-16,1610612757,Portland Trail Blazers,107.6,106.8,0.8,97.06,2,0.5472818162882732,0.15,0.294,0,1,1.015,0.8,0.3317811408614668,0.2677532013969732,0,1340.3,14.0,1
2015-16,1610612746,LA Clippers,107.2,102.7,4.5,96.81,2,0.556277148454135,0.133,0.234,1,-1,4.164,4.3,0.3240291262135922,0.3179611650485436,0,1340.3,-14.0,0
2015-16,1610612757,Portland Trail Blazers,107.6,106.8,0.8,97.06,2,0.5472818162882732,0.15,0.294,1,1,1.015,0.8,0.3317811408614668,0.2677532013969732,0,1340.3,10.0,1
2015-16,1610612746,LA Clippers,107.2,102.7,4.5,96.81,2,0.556277148454135,0.133,0.234,0,-1,4.164,4.3,0.3240291262135922,0.3179611650485436,0,1340.3,-10.0,0
2015-16,1610612739,Cleveland Cavaliers,110.2,103.9,6.3,93.82,8,0.557467824004789,0.143,0.294,1,-1,5.486,6.0,0.3523809523809524,0.2583333333333333,0,147.0,2.0,1
2015-16,1610612737,Atlanta Hawks,104.6,100.8,3.9,97.63,4,0.5515021459227467,0.152,0.234,0,-2,3.525,3.6,0.3364928909952606,0.2369668246445497,0,883.7,12.0,0
2015-16,1610612739,Cleveland Cavaliers,110.2,103.9,6.3,93.82,2,0.557467824004789,0.143,0.294,1,-1,5.486,6.0,0.3523809523809524,0.2583333333333333,0,0.0,11.0,1
2015-16,1610612737,Atlanta Hawks,104.6,100.8,3.9,97.63,2,0.5515021459227467,0.152,0.234,0,-2,3.525,3.6,0.3364928909952606,0.2369668246445497,0,0.0,-11.0,0
2015-16,1610612739,Cleveland Cavaliers,110.2,103.9,6.3,93.82,2,0.557467824004789,0.143,0.294,0,-1,5.486,6.0,0.3523809523809524,0.2583333333333333,0,892.9,25.0,1
2015-16,1610612737,Atlanta Hawks,104.6,100.8,3.9,97.63,2,0.5515021459227467,0.152,0.234,1,-2,3.525,3.6,0.3364928909952606,0.2369668246445497,0,892.9,-25.0,0
2015-16,1610612739,Cleveland Cavaliers,110.2,103.9,6.3,93.82,2,0.557467824004789,0.143,0.294,0,-1,5.486,6.0,0.3523809523809524,0.2583333333333333,0,0.0,13.0,1
2015-16,1610612737,Atlanta Hawks,104.6,100.8,3.9,97.63,2,0.5515021459227467,0.152,0.234,1,-2,3.525,3.6,0.3364928909952606,0.2369668246445497,0,0.0,-13.0,0
